sampleID,domTaxa,relabund,mgCST
sample_1,Lactobacillus_crispatus_1,0.922790248243525,1
sample_2,Lactobacillus_crispatus_1,0.996954061263638,1
sample_3,Lactobacillus_crispatus_1,0.99379171680234,1
sample_4,Lactobacillus_crispatus_1,0.989737429293738,1
sample_5,Lactobacillus_crispatus_1,0.926612824140795,1
sample_6,Lactobacillus_crispatus_1,0.915215148731168,1
sample_7,Lactobacillus_crispatus_1,0.966558850286312,1
sample_8,Lactobacillus_crispatus_1,0.950358211114348,1
sample_9,Lactobacillus_crispatus_1,0.920312265425612,1
sample_10,Lactobacillus_crispatus_1,0.938409875058061,1
sample_11,Lactobacillus_crispatus_1,0.926754777829589,1
sample_12,Lactobacillus_crispatus_1,0.915439466902058,1
sample_13,Lactobacillus_crispatus_1,0.973778377139587,1
sample_14,Lactobacillus_crispatus_1,0.973254218254609,1
sample_15,Lactobacillus_crispatus_1,0.685059479063497,1
sample_16,Lactobacillus_crispatus_1,0.969428908302192,1
sample_17,Lactobacillus_crispatus_1,0.364749149406705,1
sample_18,Lactobacillus_crispatus_1,0.868069925826821,1
sample_19,Lactobacillus_crispatus_1,0.990332089960314,1
sample_20,Lactobacillus_crispatus_1,0.895625824849161,1
sample_21,Lactobacillus_crispatus_1,0.385643829104522,1
sample_22,Lactobacillus_crispatus_1,0.941255717552018,1
sample_23,Lactobacillus_crispatus_1,0.923712734230084,1
sample_24,Lactobacillus_crispatus_1,0.87788816622284,1
sample_25,Lactobacillus_crispatus_1,0.964412344688244,1
sample_26,Lactobacillus_crispatus_1,0.981650777915462,1
sample_27,Lactobacillus_crispatus_1,0.944033587390889,1
sample_28,Lactobacillus_crispatus_1,0.946414004653937,1
sample_29,Lactobacillus_crispatus_1,0.98734279521057,1
sample_30,Lactobacillus_crispatus_1,0.965203974838967,1
sample_31,Lactobacillus_crispatus_1,0.773567817747723,1
sample_32,Lactobacillus_crispatus_1,0.982325607199251,1
sample_33,Lactobacillus_crispatus_1,0.98703736104213,1
sample_34,Lactobacillus_crispatus_1,0.987426315912597,1
sample_35,Lactobacillus_crispatus_1,0.813366075973321,1
