,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Gardnerella_piotii.2,2,284,826736,2593329,9024,72199,184490,523996,24611764
Gardnerella_piotii.3,3,262,855881,1731078,13112,95315,271011,887407,14153312
Gardnerella_piotii.4,4,178,194123,366631,9390,30090,60476,210220,3795433
Gardnerella_sp003585735.1,1,68,1487217,2793786,13694,127899,328382,1233732,12502834
Gardnerella_sp003585735.2,2,50,990626,1170212,50673,240734,585388,1134016,5635161
Gardnerella_sp003585735.3,3,41,295164,445275,23927,50475,129230,330008,2214674
Gardnerella_sp003585845.1,1,91,309857,260588,68832,157072,218506,378548,1706850
Gardnerella_sp003585845.2,2,55,1419481,1778515,84506,419876,916078,1618578,10972188
Gardnerella_sp003585845.3,3,16,680927,809476,53791,236667,463728,738501,3309260
Gardnerella_sp003585845.4,4,13,526601,442091,110265,300698,405783,628598,1789959
Gardnerella_sp003585845.5,5,13,490270,550543,102870,149958,173788,1007076,1766866
Gardnerella_spNov2.1,1,19,165290,296180,16568,37775,77740,133212,1330379
Gardnerella_spNov2.2,2,60,1531496,1839836,52014,436910,681475,2024776,9501573
Gardnerella_swidsinkii.1,1,90,8065844,9376597,208927,2181350,4523832,10241110,58601418
Gardnerella_swidsinkii.2,2,54,533947,1138929,30745,79526,163510,491776,7541059
Gardnerella_swidsinkii.3,3,52,3973578,6092545,81633,714066,1507308,3786374,29504622
Gardnerella_swidsinkii.4,4,41,3377783,6888083,61650,497058,1583905,3532648,42699262
Gardnerella_swidsinkii.5,5,38,1774486,3045182,23108,188988,399639,1784059,11558474
Gardnerella_swidsinkii.6,6,32,2236873,2357124,111576,555208,1568695,2942084,7857562
Gardnerella_swidsinkii.7,7,29,2657221,5158324,48939,185369,1240669,2555001,24098687
Gardnerella_swidsinkii.8,8,26,6867642,15789450,20998,450704,1716958,4148328,63078331
Gardnerella_swidsinkii.9,9,22,5199056,5425401,55013,316001,2961187,9252410,16426796
Gardnerella_swidsinkii.10,10,22,5503845,6090997,88229,1800654,4098764,6759696,28864189
Gardnerella_swidsinkii.11,11,21,1607391,2058793,66166,202888,618901,2561923,8450581
Gardnerella_swidsinkii.12,12,17,2547644,3111645,66861,318454,655038,3673032,8596457
Gardnerella_swidsinkii.13,13,12,3544147,4150869,93536,1042785,2000218,4374130,14652735
Gardnerella_swidsinkii.14,14,11,3493408,4738597,111414,562474,1916313,3739172,15725463
Gardnerella_vaginalis.1,1,610,2035135,3913844,10768,155306,603372,2065578,33446001
Gardnerella_vaginalis.2,2,609,922840,3237482,12664,81004,228624,760279,69252254
Gardnerella_vaginalis_A.1,1,404,737132,1239936,15726,119416,297372,808997,11771046
Gardnerella_vaginalis_A.2,2,83,60996,103282,11124,21742,35348,57589,808039
Gardnerella_vaginalis_A.3,3,72,946031,1678046,18695,110945,361405,997478,11060909
Gardnerella_vaginalis_B,1,166,358208,695862,13432,65613,166725,340563,7055516
Gardnerella_vaginalis_C.1,1,338,1841255,3291795,12655,297331,760594,1768166,24232720
Gardnerella_vaginalis_C.2,2,129,162989,381572,12381,30411,56806,119452,2940524
Gardnerella_vaginalis_C.3,3,120,1124377,2187753,33425,182438,474145,953073,17617270
Gardnerella_vaginalis_D.1,1,64,1354103,1610479,89243,306788,790378,1486998,8284218
Gardnerella_vaginalis_D.2,2,49,496092,566254,32474,141324,307564,587440,2778747
Gardnerella_vaginalis_D.3,3,43,1855626,1597033,124494,827966,1463757,2373102,6713674
Gardnerella_vaginalis_D.4,4,38,241792,206423,29394,103102,160598,319906,905393
Gardnerella_vaginalis_D.5,5,35,3027349,2903352,284046,950454,1661202,4155532,11816973
Gardnerella_vaginalis_D.6,6,30,147155,230037,12886,34623,67009,147917,1112165
Gardnerella_vaginalis_D.7,7,23,370122,638394,21865,61846,149505,338005,2850254
Gardnerella_vaginalis_D.8,8,17,1194642,1728559,15487,91841,284043,1937415,5930013
Gardnerella_vaginalis_D.9,9,17,2087995,2667508,43011,220192,930917,2850866,8086011
Gardnerella_vaginalis_D.10,10,17,59162,48975,12612,27102,42420,79395,193952
Gardnerella_vaginalis_E.1,1,11,3357845,4082310,222809,835277,1687247,3805306,14062976
Gardnerella_vaginalis_E.2,2,19,3264543,2880517,486055,1395260,2661069,4059098,11963668
Gardnerella_vaginalis_F.1,1,187,1360442,2496428,14929,103752,358382,1535227,20189746
Gardnerella_vaginalis_F.2,2,96,1829081,2704164,16306,197578,714416,2148152,15021791
Gardnerella_vaginalis_F.3,3,36,801464,1186651,19944,62291,310968,1010045,5636884
Gardnerella_vaginalis_H.1,1,211,2355987,5928385,56745,368176,926482,2550403,78344632
Gardnerella_vaginalis_H.2,2,156,177622,398677,11812,43204,77036,151348,3760832
Gardnerella_vaginalis_H.3,3,71,939145,1194113,23813,202643,570378,1154378,7871195
Gardnerella_vaginalis_H.4,4,28,1428596,2788639,54051,246711,459301,1033689,13308531
Gemella_haemolysans.1,1,14,57026,69717,12630,17071,26394,73814,268035
Gemella_haemolysans.2,2,25,117872,122558,13991,44250,72121,145622,564103
Gulosibacter,1,22,48910,96215,6973,10662,14892,33728,445460
KA00274_sp902373515.1,1,312,429197,755526,10382,82057,183348,448716,6950116
KA00274_sp902373515.2,2,56,507850,1077796,14252,33099,79258,407074,4337102
KA00274_sp902373515.3,3,122,849461,1276547,41703,220256,408172,910058,8096618
KA00274_sp902373515.4,4,81,44161,45046,9530,16804,22779,58883,212723
KA00274_sp902373515.5,5,80,609056,1042349,27778,82090,260420,604810,6997327
KA00274_sp902373515.6,6,27,878170,1149562,17595,235748,386982,653392,3961891
KA00274_sp902373515.7,7,68,787191,1079289,37611,121934,312395,1115325,6657928
Lactobacillus_crispatus.1,1,390,8449233,10622459,16956,437238,3883846,13602816,58747018
Lactobacillus_crispatus.2,2,215,5473242,8632613,14796,213946,1417792,6556866,40220628
Lactobacillus_crispatus.3,3,85,4887996,8682083,19227,127014,749306,6907455,52624429
Lactobacillus_crispatus.4,4,69,7018300,8927792,19870,306072,2980068,11229551,40960593
Lactobacillus_crispatus.5,5,68,13311910,12801016,118060,4608323,9489822,19273278,75207428
Lactobacillus_gasseri.1,1,127,1021783,2626013,16231,56008,163881,482282,16965610
Lactobacillus_gasseri.2,2,52,431473,884602,23064,40834,75706,278406,3789410
Lactobacillus_gasseri.3,3,47,2408744,5338945,13951,80368,670337,2686596,32763797
Lactobacillus_gasseri.4,4,20,2574390,4009695,16914,192513,1076086,3249244,17260017
Lactobacillus_iners.1,1,1145,2273486,4297072,9767,183300,757540,2704620,73003352
Lactobacillus_iners.2,2,674,2013579,4169968,7040,129978,624970,2139194,59915468
Lactobacillus_jensenii.1,1,116,2067965,5699531,22783,127500,313042,1319916,51940842
